word,predicted_tokens,fused_correctly
antibelieveible,anti believe ible,True
antimegalovefuling,anti me ##gal ##ove ful ing,True
antimegaplayiblefree,anti meg ##ap ##la ##y ##i ##ble ##f ##ree,True
antioversinger,anti over s ing er,True
antirenanofightlike,anti r ##en ##an ##of ##ight ##li ##ke,True
antisinglessment,anti sing less ment,True
antispeaklesser,anti speak less er,True
antistandward,anti stand ward,True
antiultrasingable,anti ult ##ra s ing able,True
biknowward,bi ##know ward,True
bimultioverdanceless,b ##im ##ult ##io ##ver ##d ##ance less,True
bimultiprespeaksionly,b ##im ##ult ##ip ##re ##spe ##ak s ion ly,True
bipolymultiseewardish,bip ##ol ##ym ##ult ##ise ##e ward ish,True
bipolyultrastandsionfree,bip ##ol ##y ##ult ##ra ##stand ##s ##ion ##f ##ree,True
bipreprounderstandfree,bip ##re ##p ##round ##er ##stand ##f ##ree,True
biprereadersion,bip ##re ##read er s ion,True
biprounderstandismfree,bip ##round ##er ##stand ##ism ##f ##ree,True
bispeaklyness,b ##is ##pe ##ak ly ness,True
biultralovetionwise,bi ##ult ##ral ##ove ##t ##ion ##wise,True
biwritesioner,bi ##w ##r ##ite s ion er,True
counterdancetionly,count er dance tion ly,True
counterdrivelikeable,count er dri ##vel ##ike able,True
countermultimisdreamwiseer,count er mult ##im ##is ##d ##re ##am ##wise er,True
counteroverreadtioning,count er over ##read tion ing,True
counterpromislosewise,count er prom ##isl ##ose ##wise,True
countertrimegaunderstander,count er tr ##ime ##ga ##und ##er ##stand er,True
hyperbicounterknowish,hyp er bic ##ount ##er ##know ish,True
hypermegakinder,hyp er meg ##ak ##ind er,True
hyperoverpostthinkismment,hyp er over ##p ##ost ##th ##ink ism ment,True
hyperpostmultiunderstandishness,hyp er post ##m ##ult ##i ##und ##er ##stand ish ness,True
hyperresemidreamist,hyp er re ##se ##m ##id ##re ##am ist,True
megaantiunstanderment,me ##ga ##ant ##i ##un ##stand er ment,True
megacounterwriteing,meg ##ac ##ount ##er ##w ##r ##ite ing,True
megadestroyismly,meg ##ade ##st ##ro y ism ly,True
megadestroysion,meg ##ade ##st ##ro y s ion,True
megaposthyperfeelible,meg ##ap ##ost ##h ##yp ##er ##fe ##el ible,True
megaseeness,meg ##ase ##e ness,True
megastandlessly,meg ##ast ##and less ly,True
megasupermultijumpness,meg ##as ##up ##erm ##ult ##ij ##ump ness,True
megaunhypersingwarder,me ##ga ##un ##h ##yp er s ing ward er,True
misantiknowful,mis anti ##know ful,True
misbimegadancefulward,mis b ##ime ##g ##ad ##ance ful ward,True
misbiseewardor,mis b ##ise ##e ##ward ##or,True
misbisemiwriteward,mis b ##ise ##mi ##w ##r ##ite ward,True
misdestroylike,mis de ##st ##ro ##y ##li ##ke,True
mispolyloveing,mis poly ##lo ##ve ing,True
misposthyperfightness,mis post ##h ##yp ##erf ##ight ness,True
multimiswriteish,mult ##im ##is ##w ##r ##ite ish,True
nanoresuperdestroyproof,nan ##ore ##s ##up ##er ##de ##st ##ro ##y ##pro ##of,True
nanosemiprothinkiblewise,nan ##ose ##m ##ip ##ro ##th ##ink ##i ##ble ##wise,True
overantistandly,over ant ##ist ##and ly,True
overbibuildor,over bib ##u ##ild ##or,True
overmegacounterdreamprooffree,over meg ##ac ##ount ##erd ##re ##amp ##ro ##off ##ree,True
overmegaultradanceorless,over me ##ga ##ult ##rad ##ance ##or less,True
overmultisemisingment,over mult ##ise ##mi s ing ment,True
overrunward,over run ward,True
overultratriwriteproof,over ult ##rat ##ri ##w ##r ##ite ##pro ##of,True
polymisultratouchableor,polym ##is ##ult ##rat ##ou ##ch ##able ##or,True
polyoversuperthinkful,pol ##yo ##vers ##up ##er ##th ##ink ful,True
polypostmultispeaklessor,poly ##p ##ost ##m ##ult ##is ##pe ##ak ##le ##ssor,True
postbuilding,post build ing,True
postsuperunderhearable,post sup ##er ##und ##er ##he ##ar able,True
precreateist,pre create ist,True
prehearlike,pre hear ##li ##ke,True
premishypercreateing,pre m ##ish ##yp ##erc ##re ##ate ing,True
preoverantithinkerless,pre over ##ant ##ith ##ink er less,True
preresuperdrivefuler,pre res ##up ##erd ##r ive ful er,True
prespeakerfree,pre speak ##erf ##ree,True
presuperbelieveerism,pre sup ##erb ##el ##ieve er ism,True
pretouchishor,pre touch ##ish ##or,True
prodestroyfulish,prod ##est ##ro y ful ish,True
pronanomegakindful,pron ##an ##ome ##g ##ak ##ind ful,True
prosuperfeelsion,pro ##s ##up ##er ##fe ##el s ion,True
proultraflyer,p ##rou ##l ##t ##ra ##f ly er,True
rehyperkindment,re hyp ##er ##kind ment,True
rehypermultibuildistful,re hyp ##erm ##ult ##ib ##u ##ild ist ful,True
repolysuperhearment,re pol ##ys ##up ##er ##he ##ar ment,True
rethinkingist,re think ing ist,True
rethinklike,re think ##li ##ke,True
reunderfeelproof,re und ##er ##fe ##el ##pro ##of,True
semifeelishible,semi feel ish ible,True
semifeelproofness,semi feel ##pro ##of ness,True
semihately,semi hate ly,True
semimegaunreadortion,semi me ##ga ##un ##read ##or tion,True
seminanooverwriteing,semi nan ##oo ##ver ##w ##r ##ite ing,True
semioverplayproofsion,semi over ##pla ##y ##pro ##of s ion,True
semireunderstandless,semi re ##und ##er ##stand less,True
superfeelible,sup er feel ible,True
superflymentward,sup er fly ment ward,True
supermegarunwise,sup er me ##gar ##un ##wise,True
supermulticounterhearish,sup er mult ##ic ##ount ##er ##he ##ar ish,True
superovertouchproofist,sup er over ##t ##ou ##ch ##pro ##of ist,True
superpostwinfree,sup er post ##win ##f ##ree,True
superrebelieveness,sup er re ##bel ##ieve ness,True
supertrihappywarding,sup er tri ##ha ##pp y ward ing,True
superwinsioner,sup er win s ion er,True
triantiunderstandlike,tri ##ant ##i ##und ##er ##stand ##li ##ke,True
trihappyableism,tri ##ha ##pp y able ism,True
trihateishist,tri ##h ##ate ish ist,True
trimegapolybuildfulward,tr ##ime ##g ##ap ##ol ##y ##bu ##ild ful ward,True
trimultirunable,tr ##im ##ult ##ir ##un able,True
triseely,tri ##se ##e ly,True
trisingable,tri s ing able,True
triultraloveness,tri ##ult ##ral ##ove ness,True
triunderpredestroylike,tri ##und ##er ##pre ##de ##st ##ro ##y ##li ##ke,True
triunproreadlessful,tri ##un ##pro ##read less ful,True
ultraknowableproof,ult ##ra ##know ##able ##pro ##of,True
ultramegahappyless,ult ##ram ##eg ##ah ##a ##pp y less,True
ultraprooverdancelying,ult ##rap ##ro ##o ##ver ##d ##ance ly ing,True
ultrasupersemicreatefreeish,ultras ##up ##er ##se ##mic ##re ##ate ##f ##ree ish,True
underbifightfreeless,und er b ##if ##ight ##f ##ree less,True
undercounterdrivenessable,und er count ##erd ##r ive ness able,True
undercreateable,und er create able,True
undercreatesionor,und er create ##s ##ion ##or,True
underhyperbuildward,und er hyp ##erb ##u ##ild ward,True
undermegaloseer,und er me ##gal ##ose er,True
undermisknowment,und er mis ##know ment,True
underpostthinktion,und er post ##th ##ink tion,True
underprebiplayorsion,und er pre ##b ##ip ##la ##y ##or s ion,True
underwinfree,und er win ##f ##ree,True
unfightwardsion,un fight wards ion,True
unflyible,un fly ible,True
unmisdancefulist,un mis ##d ##ance ful ist,True
unmultitristandfulism,un mult ##it ##rist ##and ful ism,True
unpolymegasingtionism,un pol ##yme ##ga s ing tion ism,True
unpreunderthinkible,un pre ##und ##er ##th ##ink ible,True
unsingtion,un sing tion,True
unsuperrethinkly,un sup ##er ##re ##th ##ink ly,True
